ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
89245,2013,2013,2013,US,National,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,27,,,23.8,30.5,"13,324",,,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
117221,2013,2013,2013,AL,Alabama,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,33.2,,,29.1,37.7,"1,544",32.84057112,-86.63186076,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
96834,2013,2013,2013,AK,Alaska,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,15.8,,,13.2,18.7,"1,221",64.84507996,-147.722059,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
104727,2013,2013,2013,AZ,Arizona,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,19.7,,,15.8,24.2,"1,427",34.86597028,-111.7638113,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
104900,2013,2013,2013,AR,Arkansas,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,31.2,,,28.7,33.9,"1,487",34.74865012,-92.27449074,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
106617,2013,2013,2013,CT,Connecticut,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,13.9,,,12,15.9,"2,307",41.56266102,-72.64984095,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
102215,2013,2013,2013,DE,Delaware,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,22.2,,,20.5,24.1,"2,520",39.00883067,-75.57774117,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
111973,2013,2013,2013,FL,Florida,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,22.1,,,20.5,23.9,"5,925",28.93204038,-81.92896054,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,12,,,,
97970,2013,2013,2013,GA,Georgia,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,24.4,,,21.5,27.7,"1,947",32.83968109,-83.62758035,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,13,,,,
114898,2013,2013,2013,HI,Hawaii,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,15.8,,,13.8,18.1,"4,503",21.30485044,-157.8577494,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,15,,,,
